Country,Year,Code,tb_due_to_hiv,tb_due_to_alcohol,tb_due_to_smoking,tb_due_to_diabetes,tb_due_to_malnourishment,0-4,May-15,16-24 years, 25-34 years, 35-44 years, 45-54 years, 55-64 years, over 65 years
Lower-middle-income countries,2022,,449594,466283,492400,265957,1555616,136.33156,76.85916,200.80283,232.36783,249.9879,315.53763,378.9352,409.5239
Djibouti,2022,DJI,310,42,,90,620,147.12675,77.31913,190.77554,263.73337,299.49698,328.2732,443.95773,668.63324
Pakistan,2022,PAK,14000,4900,38000,31000,165000,124.168625,79.741356,215.98676,228.93758,336.34848,454.66486,526.05524,1071.594
Mongolia,2022,MNG,,2200,1800,780,1100,159.1648,80.53464,608.16907,601.46466,520.11304,684.6934,656.1606,753.0601
Somalia,2022,SOM,420,310,,1100,23000,146.45189,85.619026,183.01898,307.53857,405.1885,510.27368,683.44135,1238.2148
Guinea-Bissau,2022,GNB,1800,150,290,220,,175.05824,85.83237,270.02805,502.2168,655.644,682.94586,872.33167,1077.804
Tuvalu,2022,TUV,,3,5,3,,0,86.24407,476.44257,220.50717,313.97174,105.26316,727.9345,808.62537
Congo,2022,COG,6800,900,1400,720,9000,136.17628,86.300705,303.7317,513.0648,653.1921,677.8325,841.3998,1212.6285
Tanzania,2022,TZA,42000,13000,4000,2800,43000,167.32274,87.299034,71.5948,190.90924,306.45493,461.59964,558.2382,792.05853
Liberia,2022,LBR,1800,1500,510,510,7500,181.00969,87.30231,225.35995,421.3915,583.4182,543.97284,650.3008,843.60767
Angola,2022,AGO,17000,12000,,4000,37000,132.45493,89.85234,318.88107,502.72406,649.3637,656.3255,730.2104,940.194
Gabon,2022,GAB,3400,1500,,520,3300,185.61214,94.687836,411.8488,681.5556,851.3829,895.0134,1052.3074,1152.1605
South Africa,2022,ZAF,142000,35000,26000,14000,37000,271.53888,95.732,329.25388,551.9386,713.71173,744.2748,685.00995,764.972
Democratic Republic of Congo,2022,COD,28000,28000,13000,8100,147000,78.022026,100.44176,255.20941,447.34482,675.6812,804.12085,935.74207,888.7942
Oceania,2022,,5368,4124,6565,2591,14356,176.01941,103.27191,137.23465,136.09264,102.45686,95.404205,79.997116,30.034914
Namibia,2022,NAM,6900,1300,690,350,3300,276.07068,108.86714,292.91586,551.4458,808.97363,808.1336,869.8173,1020.6685
Mozambique,2022,MOZ,67000,7000,7000,3100,50000,122.95725,129.16187,163.24277,530.4155,804.86346,743.0635,864.4486,1606.0956
Central African Republic,2022,CAF,8800,2100,,960,16000,216.86415,143.62184,429.31143,929.9607,1387.6525,1421.4204,1304.5594,1634.4418
East Timor,2022,TLS,140,230,880,150,2400,266.59726,149.32593,306.90912,480.84476,529.8112,882.76654,1547.1973,1861.2109
Lesotho,2022,LSO,7500,1400,1300,550,6600,331.23068,155.26973,254.82036,748.2332,1297.872,1092.2141,1488.6553,2098.213
Philippines,2022,PHL,20000,72000,75000,23000,76000,291.4621,169.21402,559.8418,641.8951,794.2548,1107.4419,1143.0172,1368.8441
Kiribati,2022,KIR,,51,87,47,47,209.20502,169.83473,541.74493,386.06403,488.0796,927.0531,752.0651,677.69586
Indonesia,2022,IDN,40000,17000,141000,34000,133000,494.61926,201.25038,324.90665,354.90933,362.13156,475.6267,597.79694,524.04285
Myanmar,2022,MMR,24000,9000,22000,7600,16000,461.12637,225.15306,319.9866,461.79318,485.2106,577.0202,730.9328,920.7432
North Korea,2022,PRK,1800,9300,11000,3500,64000,335.5207,232.36122,378.45056,592.2346,935.2787,781.13245,491.66714,176.8243
Cambodia,2022,KHM,4400,4400,3500,1400,6500,257.0409,248.54326,77.481964,188.97511,306.2701,412.28662,663.5352,1119.6437
Marshall Islands,2022,MHL,,,18,14,,428.87778,279.5098,490.64703,405.45523,398.773,764.9809,1117.6858,526.59296
Papua New Guinea,2022,PNG,5300,3800,6200,2400,14000,486.1,305.3431,416.24533,515.4908,433.90826,489.72903,552.6448,365.0064
